"","DrugName","ApplicationDocsID","ApplNo","SubmissionType","SubmissionNo","ApplicationDocsURL","SubmissionClassCodeID","SubmissionStatusDate","ReviewPriority","AppSubmissionDate","DIVISION","OFFICE","BOX1","BOX2","BOX3","BOX4","BOX5","BOX6","BOX7","BOX8","BOX9","BOX10","BOX11","BOX12","BOX13","BOX14","BOX15","BOX16","BOX17","BOX18","BOXNA","X505B2","NME","ApplType","ACTIVE_INGREDIENT","BTD","PR","FT","AA","ORPH","FDA.approved.use.on.approval.date","BOXED_WARNING","BW","BW_PREG","ER","num_box","term_box","SectionA_notCOA"
"40","BRAFTOVI",54909,210496,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210496Orig1s000TOC.cfm",8,"6/27/2018","STANDARD",2017-06-30,"DOP2","OHOP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","encorafenib",0,0,0,0,"1","To treat unresectable or metastatic melanoma ",NA,0,0,0,3,1,0
"41","MEKTOVI",55266,210498,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210498Orig1s000TOC.cfm",8,"6/27/2018","STANDARD",2017-06-30,"DOP2","OHOP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","binimetinib",0,0,0,0,"1","To treat unresectable or metastatic melanoma ",NA,0,0,0,3,1,0
"42","ZEMDRI",55017,210303,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210303Orig1s000TOC.cfm",7,"6/25/2018","PRIORITY",2017-10-27,"DAIP","OAP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","plazomicin",0,1,0,0,"0","To treat adults with complicated urinary tract infections","WARNING: NEPHROTOXICITY, OTOTOXICITY, NEUROMUSCULAR BLOCKADE and FETAL HARM Nephrotoxicity has been reported with ZEMDRI. The risk of nephrotoxicity is greater in patients with impaired renal function, the elderly, and in those receiving concomitant nephrotoxic medications. Assess creatinine clearance in all patients prior to initiating therapy and daily during therapy [see Dosage and Administration (2.2) and Warnings and Precautions (5.1)] . Therapeutic Drug Monitoring (TDM) is recommended for complicated urinary tract infection (cUTI) patients with CLcr less than 90 mL/min to avoid potentially toxic levels [see Dosage and Administration (2.3, 2.4)] . Ototoxicity, manifested as hearing loss, tinnitus, and/or vertigo, has been reported with ZEMDRI. Symptoms of aminoglycoside-associated ototoxicity may be irreversible and may not become evident until after completion of therapy. Aminoglycoside-associated ototoxicity has been observed primarily in patients with a family history of hearing loss, patients with renal impairment, and in patients receiving higher doses and/or longer durations of therapy than recommended [see Warnings and Precautions (5.2)]. Aminoglycosides have been associated with neuromuscular blockade. During therapy with ZEMDRI, monitor for adverse reactions associated with neuromuscular blockade, particularly in high-risk patients, such as patients with underlying neuromuscular disorders (including myasthenia gravis) or in patients concomitantly receiving neuromuscular blocking agents [see Warning and Precautions (5.3)] . Aminoglycosides, including ZEMDRI, can cause fetal harm when administered to a pregnant woman [see Warnings and Precautions (5.4), Use in Specific Populations (8.1)] . WARNING: NEPHROTOXICITY, OTOTOXICITY, NEUROMUSCULAR BLOCKADE and FETAL HARM See full prescribing information for complete boxed warning. Nephrotoxicity has been reported with ZEMDRI. The risk of nephrotoxicity is greater in patients with impaired renal function, the elderly, and in those receiving concomitant nephrotoxic medications. (5.1) Ototoxicity, manifested as hearing loss, tinnitus, and/or vertigo, has been reported with ZEMDRI. Symptoms of aminoglycoside associated ototoxicity may be irreversible and may not become evident until after completion of therapy. (5.2) Aminoglycosides have been associated with neuromuscular blockade. During therapy with ZEMDRI, monitor for adverse reactions associated with neuromuscular blockade particularly in high-risk patients. (5.3) Aminoglycosides, including ZEMDRI can cause fetal harm when administered to a pregnant woman. (5.6, 8.1)",1,1,1,3,1,0
"43","EPIDIOLEX",55018,210365,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210365Orig1s000TOC.cfm",7,"6/25/2018","PRIORITY",2017-10-27,"DNP","ODE1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","cannabidiol",0,1,1,0,"1","To treat rare, severe forms of epilepsy",NA,0,0,2,4,2,0
"44","MOXIDECTIN",54773,210867,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210867Orig1s000TOC.cfm",7,"6/13/2018","PRIORITY",2017-10-13,"DAIP","OAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"NDA","moxidectin",0,1,0,0,"1","To treat onchocerciasis due to Onchocerca volvulus in patients aged 12 years and older",NA,0,0,1,1,1,0
"45","OLUMIANT",54749,207924,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/207924Orig1s000TOC.cfm",7,"5/31/2018","STANDARD",2016-01-15,"DPARP","ODE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"NDA","baricitinib",0,0,0,0,"0","To treat moderately to severely active rheumatoid arthritis","WARNING: SERIOUS INFECTIONS, MALIGNANCY, AND THROMBOSIS SERIOUS INFECTIONS Patients treated with OLUMIANT are at risk for developing serious infections that may lead to hospitalization or death [see Warnings and Precautions (5.1) and Adverse Reactions (6.1)] . Most patients who developed these infections were taking concomitant immunosuppressants such as methotrexate or corticosteroids. If a serious infection develops, interrupt OLUMIANT until the infection is controlled. Reported infections include: Active tuberculosis, which may present with pulmonary or extrapulmonary disease. Patients should be tested for latent tuberculosis before initiating OLUMIANT and during therapy. Treatment for latent infection should be considered prior to OLUMIANT use. Invasive fungal infections, including candidiasis and pneumocystosis. Patients with invasive fungal infections may present with disseminated, rather than localized, disease. Bacterial, viral, and other infections due to opportunistic pathogens. The risks and benefits of treatment with OLUMIANT should be carefully considered prior to initiating therapy in patients with chronic or recurrent infection. Patients should be closely monitored for the development of signs and symptoms of infection during and after treatment with OLUMIANT including the possible development of tuberculosis in patients who tested negative for latent tuberculosis infection prior to initiating therapy [see Warnings and Precautions (5.1)] . MALIGNANCIES Lymphoma and other malignancies have been observed in patients treated with OLUMIANT [see Warnings and Precautions (5.2)] . THROMBOSIS Thrombosis, including deep venous thrombosis and pulmonary embolism, has been observed at an increased incidence in patients treated with OLUMIANT compared to placebo. In addition, there were cases of arterial thrombosis. Many of these adverse events were serious and some resulted in death. Patients with symptoms of thrombosis should be promptly evaluated. [See Warnings and Precautions (5.3)] . WARNING: SERIOUS INFECTIONS, MALIGNANCY, AND THROMBOSIS See full prescribing information for complete boxed warning. Serious infections leading to hospitalization or death, including tuberculosis and bacterial, invasive fungal, viral, and other opportunistic infections, have occurred in patients receiving OLUMIANT. (5.1) If a serious infection develops, interrupt OLUMIANT until the infection is controlled. (5.1) Prior to starting OLUMIANT, perform a test for latent tuberculosis; if it is positive, start treatment for tuberculosis prior to starting OLUMIANT. (5.1) Monitor all patients for active tuberculosis during treatment, even if the initial latent tuberculosis test is negative. (5.1) Lymphoma and other malignancies have been observed in patients treated with OLUMIANT. (5.2) Thrombosis, including deep venous thrombosis, pulmonary embolism, and arterial thrombosis, some fatal, have occurred in patients treated with OLUMIANT. Patients with symptoms of thrombosis should be evaluated promptly. (5.3)",1,0,0,0,0,0
"46","PALYNZIQ",54723,761079,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761079Orig1s000TOC.cfm",7,"5/24/2018","PRIORITY",2017-06-30,"DGIEP","ODE3",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,"BLA","pegvaliase-pqpz",0,1,1,0,"1","To treat adults with a rare and serious genetic disease known as phenylketonuria (PKU)","WARNING: RISK OF ANAPHYLAXIS Anaphylaxis has been reported after administration of Palynziq and may occur at any time during treatment [see Warnings and Precautions (5.1)]. Administer the initial dose of Palynziq under the supervision of a healthcare provider equipped to manage anaphylaxis, and closely observe patients for at least 60 minutes following injection. Prior to self-injection, confirm patient competency with self-administration, and patient’s and observer’s (if applicable) ability to recognize signs and symptoms of anaphylaxis and administer auto-injectable epinephrine, if needed [see Dosage and Administration (2.4)]. Consider having an adult observer for patients who may need assistance in recognizing and managing anaphylaxis during Palynziq treatment. If an adult observer is needed, the observer should be present during and for at least 60 minutes after Palynziq administration, should be able to administer auto-injectable epinephrine, and call for emergency medical support upon its use [see Warnings and Precautions (5.1)]. Prescribe auto-injectable epinephrine to all patients treated with Palynziq. Prior to the first dose, instruct the patient and observer (if applicable) how to recognize the signs and symptoms of anaphylaxis, how to properly administer auto-injectable epinephrine, and to seek immediate medical care upon its use. Instruct patients to carry auto-injectable epinephrine with them at all times during treatment with Palynziq [see Dosage and Administration (2.4), Warnings and Precautions (5.1)]. Consider the risks and benefits of readministering Palynziq following an episode of anaphylaxis. If the decision is made to readminister Palynziq, readminister the first dose under the supervision of a healthcare provider equipped to manage anaphylaxis and closely observe the patient for at least 60 minutes following the dose [see Dosage and Administration (2.4), Warnings and Precautions (5.1)]. Because of the risk of anaphylaxis, Palynziq is available only through a restricted program under a Risk Evaluation and Mitigation Strategy (REMS) called the Palynziq REMS [see Warnings and Precautions (5.2)]. WARNING: RISK OF ANAPHYLAXIS See full prescribing information for complete boxed warning. Anaphylaxis has been reported after administration of Palynziq and may occur at any time during treatment. (5.1) Administer the initial dose of Palynziq under the supervision of a healthcare provider equipped to manage anaphylaxis, and closely observe patients for at least 60 minutes following injection. Prior to self-injection, confirm patient competency with self-administration, and patient’s and observer’s (if applicable) ability to recognize signs and symptoms of anaphylaxis and to administer auto-injectable epinephrine, if needed. (2.4) Prescribe auto-injectable epinephrine. Prior to first dose, instruct the patient and observer (if applicable) on its appropriate use. Instruct the patient to seek immediate medical care upon its use. Instruct patients to carry auto-injectable epinephrine with them at all times during Palynziq treatment. (2.4, 5.1) Palynziq is available only through a restricted program called the Palynziq REMS. (5.2)",1,0,2,3,2,0
"47","DOPTELET",54724,210238,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210238Orig1s000TOC.cfm",7,"5/21/2018","PRIORITY",2017-09-21,"DHP","OHOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"NDA","avatrombopag",0,1,0,0,"0","To treat low blood platelet count (thrombocytopenia) in adults with chronic liver disease who are scheduled to undergo a medical or dental procedure",NA,0,0,1,1,1,0
"48","LOKELMA",54477,207078,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/207078Orig1s000TOC.cfm",7,"5/18/2018","STANDARD",2015-05-26,"DCRP","ODE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"NDA","sodium zirconium cyclosilicate",0,0,0,0,"0","To treat hyperkalemia",NA,0,0,0,0,0,0
"49","AIMOVIG",54606,761077,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761077Orig1s000TOC.cfm",7,"5/17/2018","STANDARD",2017-05-17,"DNP","ODE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"BLA","erenumab-aooe",0,0,0,0,"0","For the preventive treatment for migraine",NA,0,0,0,0,0,0
"50","LUCEMYRA",54725,209229,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/209229Orig1s000TOC.cfm",7,"5/16/2018","PRIORITY",2017-09-26,"DAAAP","ODE2",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","lofexidine hydrochloride",0,1,1,0,"0","For the non-opioid treatment for management of opioid withdrawal symptoms in adults",NA,0,0,2,4,2,1
"51","AKYNZEO",54390,210493,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210493Orig1s000ApprovTOC.cfm",7,"4/19/2018","STANDARD",2017-04-20,"DGIEP","ODE3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"NDA","fosnetupitant and palonosetron",0,0,0,0,"0","To prevent acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy",NA,0,0,0,0,0,0
"52","TAVALISSE",54188,209299,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/209299Orig1s000TOC.cfm",7,"4/17/2018","STANDARD",2017-04-15,"DHP","OHOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"NDA","fostamatinib",0,0,0,0,"1","To treat thrombocytopenia in adult patients with persistent or chronic immune thrombocytopenia (ITP)",NA,0,0,0,0,0,0
"53","CRYSVITA",54189,761068,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761068Orig1s000TOC.cfm",7,"4/17/2018","PRIORITY",2017-08-17,"DBRUP","ODE3",1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,"BLA","burosumab-twza",1,1,1,0,"1","To treat adults and children ages 1 year and older with x-linked hypophosphatemia (XLH), a rare, inherited form of rickets",NA,0,0,3,8,5,2
"54","ILUMYA",53824,761067,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761067Orig1s000TOC.cfm",7,"3/20/2018","STANDARD",2017-03-23,"DDDP","ODE3",1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"BLA","tildrakizumab",0,0,0,0,"0","To treat adults with moderate-to-severe plaque psoriasis who are candidates for systemic therapy or phototherapy",NA,0,0,0,6,3,0
"55","TROGARZO",53561,761065,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/TROGARZO_761065_TOC.cfm",7,"3/6/2018","PRIORITY",2017-03-03,"DAVP","OAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"BLA","ibalizumab-uiyk",1,1,1,0,"1","To treat HIV patients who have limited treatment options",NA,0,0,3,0,0,0
"56","ERLEADA",53051,210951,"ORIG",1,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/Erleada_210951_toc.cfm",7,"2/14/2018","PRIORITY",2017-10-09,"DOP1","OHOP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","apalutamide",0,1,1,0,"0","To treat a certain type of prostate cancer using novel clinical trial endpoint",NA,0,0,2,3,1,0
"57","SYMDEKO (COPACKAGED)",52945,210491,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210491Orig1s000TOC.cfm",7,"2/12/2018","PRIORITY",2017-06-28,"DPARP","ODE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"NDA","tezacaftor; ivacaftor",1,1,1,0,"1","To treat cystic fibrosis in patients age 12 years and older",NA,0,0,3,0,0,0
"58","BIKTARVY",53053,210251,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210251Orig1s000TOC.cfm",8,"2/7/2018","PRIORITY",2017-06-10,"DAVP","OAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"NDA","bictegravir, embitcitabine, tenofovir alafenamide",0,1,0,0,"0","To treat infection in adults who have no antiretroviral treatment history or to replace the current antiretroviral regimen","WARNING: POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B Severe acute exacerbations of hepatitis B have been reported in patients who are coinfected with HIV-1 and HBV and have discontinued products containing emtricitabine (FTC) and/or tenofovir disoproxil fumarate (TDF), and may occur with discontinuation of BIKTARVY. Closely monitor hepatic function with both clinical and laboratory follow-up for at least several months in patients who are coinfected with HIV-1 and HBV and discontinue BIKTARVY. If appropriate, anti-hepatitis B therapy may be warranted [see Warnings and Precautions (5.1)] . WARNING: POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B See full prescribing information for complete boxed warning. Severe acute exacerbations of hepatitis B have been reported in patients who are coinfected with HIV-1 and HBV and have discontinued products containing emtricitabine (FTC) and/or tenofovir disoproxil fumarate (TDF), and may occur with discontinuation of BIKTARVY. Closely monitor hepatic function in these patients. If appropriate, anti-hepatitis B therapy may be warranted. ( 5.1)",1,0,1,0,0,0
"59","LUTATHERA",52916,208700,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/208700Orig1s000TOC.cfm",7,"1/26/2018","PRIORITY",2016-04-28,"DOP2","OHOP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","lutetium Lu 177 dotatate",0,1,1,0,"1",NA,"0",0,NA,2,3,1,0
